S.no,Wave,Job_name,Job_type,Box_name,Application,Application Owner,,,,
713126,Wave4,mmemsg_d_ev_APAC_syd_checkstart_index4a,CMD,mmemsg_d_ev_APAC_checkstart_box,mmemsg,MGTI EUR MESSAGING,A10,No,No,No
713127,Wave4,mmemsg_d_ev_APAC_mel_checkstart_index3a,CMD,mmemsg_d_ev_APAC_checkstart_box,mmemsg,MGTI EUR MESSAGING,A10,No,No,No
713128,Wave4,mmemsg_d_ev_APAC_mel_checkstart_index4a,CMD,mmemsg_d_ev_APAC_checkstart_box,mmemsg,MGTI EUR MESSAGING,A10,No,No,No
713129,Wave4,mmamsg_w_ev_apac_box,BOX,,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713130,Wave4,mmbkp_w_ev_apac_backup_box,BOX,mmamsg_w_ev_apac_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713131,Wave4,mmamsg_w_ev_apac_start_box,BOX,mmamsg_w_ev_apac_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713132,Wave4,mmbkp_w_ev_apac_buclones_box,BOX,mmamsg_w_ev_apac_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713133,Wave4,mmamsg_w_ev_apac_fw,FW,mmamsg_w_ev_apac_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713134,Wave4,mmbkp_w_ev_apac_syd_fingerprint,CMD,mmbkp_w_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713135,Wave4,mmbkp_w_ev_apac_mel_fingerprint,CMD,mmbkp_w_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713136,Wave4,mmbkp_w_ev_apac_mel_vault,CMD,mmbkp_w_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713137,Wave4,mmbkp_w_ev_apac_syd_vault,CMD,mmbkp_w_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713138,Wave4,mmbkp_w_ev_apac_syd_audit,CMD,mmbkp_w_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713139,Wave4,mmbkp_w_ev_apac_syd_dir_mon,CMD,mmbkp_w_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713140,Wave4,mmbkp_w_ev_apac_mel_index2,CMD,mmbkp_w_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713141,Wave4,mmbkp_w_ev_apac_syd_index2,CMD,mmbkp_w_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713142,Wave4,mmbkp_w_ev_apac_mel_index2_refreshclone,CMD,mmbkp_w_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713143,Wave4,mmbkp_w_ev_apac_syd_index2_refreshclone,CMD,mmbkp_w_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713144,Wave4,mmamsg_w_ev_apac_mel_index2_resetarchive,CMD,mmbkp_w_ev_apac_backup_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713145,Wave4,mmamsg_w_ev_apac_syd_index2_resetarchive,CMD,mmbkp_w_ev_apac_backup_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713146,Wave4,mmbkp_w_ev_apac_syd_fingerprint_2,CMD,mmbkp_w_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713147,Wave4,mmbkp_w_ev_apac_mel_fingerprint_2,CMD,mmbkp_w_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713148,Wave4,mmbkp_w_ev_apac_mel_vault_2,CMD,mmbkp_w_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713149,Wave4,mmbkp_w_ev_apac_syd_vault_2,CMD,mmbkp_w_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713150,Wave4,mmbkp_w_ev_apac_mel_index3,CMD,mmbkp_w_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713151,Wave4,mmbkp_w_ev_apac_syd_index3,CMD,mmbkp_w_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713152,Wave4,mmbkp_w_ev_apac_mel_index3_refreshclone,CMD,mmbkp_w_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713153,Wave4,mmbkp_w_ev_apac_syd_index3_refreshclone,CMD,mmbkp_w_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713154,Wave4,mmamsg_w_ev_apac_mel_index3_resetarchive,CMD,mmbkp_w_ev_apac_backup_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713155,Wave4,mmamsg_w_ev_apac_syd_index3_resetarchive,CMD,mmbkp_w_ev_apac_backup_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713156,Wave4,mmamsg_w_ev_apac_syd_start_index2a,CMD,mmamsg_w_ev_apac_start_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713157,Wave4,mmamsg_w_ev_apac_syd_start_index2b,CMD,mmamsg_w_ev_apac_start_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713158,Wave4,mmamsg_w_ev_apac_mel_start_index2a,CMD,mmamsg_w_ev_apac_start_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713159,Wave4,mmamsg_w_ev_apac_mel_start_index2b,CMD,mmamsg_w_ev_apac_start_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713160,Wave4,mmamsg_w_ev_apac_syd_start_index3a,CMD,mmamsg_w_ev_apac_start_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713161,Wave4,mmamsg_w_ev_apac_syd_start_index3b,CMD,mmamsg_w_ev_apac_start_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713162,Wave4,mmamsg_w_ev_apac_mel_start_index3a,CMD,mmamsg_w_ev_apac_start_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713163,Wave4,mmamsg_w_ev_apac_mel_start_index3b,CMD,mmamsg_w_ev_apac_start_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713164,Wave4,mmbkp_w_ev_apac_mel_index2_buclone,CMD,mmbkp_w_ev_apac_buclones_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713165,Wave4,mmbkp_w_ev_apac_syd_index2_buclone,CMD,mmbkp_w_ev_apac_buclones_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713166,Wave4,mmbkp_w_ev_apac_mel11bs13_mount,CMD,mmbkp_w_ev_apac_buclones_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713167,Wave4,mmbkp_w_ev_apac_mel11bs13_unmount,CMD,mmbkp_w_ev_apac_buclones_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713168,Wave4,mmbkp_w_ev_apac_syd11bs11_mount,CMD,mmbkp_w_ev_apac_buclones_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713169,Wave4,mmbkp_w_ev_apac_syd11bs11_unmount,CMD,mmbkp_w_ev_apac_buclones_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713170,Wave4,mmbkp_w_ev_apac_mel_index3_buclone,CMD,mmbkp_w_ev_apac_buclones_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713171,Wave4,mmbkp_w_ev_apac_syd_index3_buclone,CMD,mmbkp_w_ev_apac_buclones_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713172,Wave4,mmbkp_w_ev_apac_mel11bs14_mount,CMD,mmbkp_w_ev_apac_buclones_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713173,Wave4,mmbkp_w_ev_apac_mel11bs14_unmount,CMD,mmbkp_w_ev_apac_buclones_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713174,Wave4,mmbkp_w_ev_apac_syd11bs12_unmount,CMD,mmbkp_w_ev_apac_buclones_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713175,Wave4,mmbkp_w_ev_apac_syd11bs12_mount,CMD,mmbkp_w_ev_apac_buclones_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713176,Wave4,pacc_w_ev_apac_bkup_status_email_on_completion,CMD,,pacc,MGTI GL RlseMgt-Support,A10,No,No,No
713177,Wave4,mmemsg_w_ev_APAC_checkstart_box,BOX,,mmemsg,MGTI EUR MESSAGING,A10,No,No,No
713178,Wave4,mmemsg_w_ev_APAC_syd_checkstart_index3a,CMD,mmemsg_w_ev_APAC_checkstart_box,mmemsg,MGTI EUR MESSAGING,A10,No,No,No
713179,Wave4,mmemsg_w_ev_APAC_syd_checkstart_index4a,CMD,mmemsg_w_ev_APAC_checkstart_box,mmemsg,MGTI EUR MESSAGING,A10,No,No,No
713180,Wave4,mmemsg_w_ev_APAC_mel_checkstart_index3a,CMD,mmemsg_w_ev_APAC_checkstart_box,mmemsg,MGTI EUR MESSAGING,A10,No,No,No
713181,Wave4,mmemsg_w_ev_APAC_mel_checkstart_index4a,CMD,mmemsg_w_ev_APAC_checkstart_box,mmemsg,MGTI EUR MESSAGING,A10,No,No,No
